graph_name,red_endpoints_l2_05,blue_endpoints_l2_05,red_staircases_l2_05,blue_staircases_l2_05,total_staircases_l2_05,red_staircases_l2_0,blue_staircases_l2_0,total_staircases_l2_0,number_of_nodes,number_of_edges,total_red_nodes,total_blue_nodes,avg_degree,max_degree,density
partitioned_grafo10056.31,27,27,4,5,9,4,5,9,31,36,17,14,2.3226,4,0.0774
partitioned_grafo10057.40,1,5,0,1,1,0,8,8,40,59,3,37,2.95,8,0.0756
partitioned_grafo10058.32,8,10,1,2,3,1,9,10,32,40,12,20,2.5,7,0.0806
partitioned_grafo10059.32,10,8,2,1,3,9,1,10,32,39,21,11,2.4375,4,0.0786
partitioned_grafo1006.11,8,4,1,1,2,2,1,3,11,12,8,3,2.1818,3,0.2182
partitioned_grafo10060.90,0,0,0,0,0,0,0,0,90,121,13,77,2.6889,7,0.0302
partitioned_grafo10061.99,0,0,0,0,0,0,0,0,99,131,34,65,2.6465,8,0.027
partitioned_grafo10062.39,11,13,2,2,4,1,9,10,39,44,6,33,2.2564,6,0.0594
partitioned_grafo10063.31,27,27,4,5,9,4,5,9,31,36,17,14,2.3226,4,0.0774
partitioned_grafo10064.39,0,0,0,0,0,0,0,0,39,59,11,28,3.0256,8,0.0796
partitioned_grafo10065.32,10,8,2,1,3,9,1,10,32,40,23,9,2.5,4,0.0806
partitioned_grafo10066.40,8,46,1,8,9,1,8,9,40,53,12,28,2.65,8,0.0679
partitioned_grafo10067.41,24,24,4,4,8,9,4,13,41,47,23,18,2.2927,5,0.0573
partitioned_grafo10068.31,27,27,4,5,9,4,5,9,31,37,17,14,2.3871,4,0.0796
partitioned_grafo10069.40,36,36,6,6,12,7,6,13,40,52,25,15,2.6,6,0.0667
partitioned_grafo1007.20,6,6,1,1,2,3,1,4,20,22,12,8,2.2,4,0.1158
partitioned_grafo10070.32,26,22,4,4,8,5,2,7,32,37,17,15,2.3125,4,0.0746
partitioned_grafo10071.40,8,10,1,2,3,1,8,9,40,50,10,30,2.5,7,0.0641
partitioned_grafo10072.97,0,0,0,0,0,0,0,0,97,136,40,57,2.8041,9,0.0292
partitioned_grafo10074.90,0,0,0,0,0,0,0,0,90,130,18,72,2.8889,7,0.0325
partitioned_grafo10075.31,26,28,4,5,9,4,6,10,31,37,15,16,2.3871,4,0.0796
partitioned_grafo10076.90,0,0,0,0,0,0,0,0,90,129,7,83,2.8667,8,0.0322
partitioned_grafo10077.31,27,27,4,5,9,4,5,9,31,36,17,14,2.3226,4,0.0774
partitioned_grafo10078.40,10,14,2,2,4,0,12,12,40,51,9,31,2.55,8,0.0654
partitioned_grafo10079.41,0,6,0,1,1,0,0,0,41,57,36,5,2.7805,8,0.0695
partitioned_grafo1008.12,6,6,1,1,2,2,1,3,12,11,6,6,1.8333,3,0.1667
partitioned_grafo10080.38,6,6,1,1,2,8,1,9,38,47,32,6,2.4737,6,0.0669
partitioned_grafo10081.34,0,0,0,0,0,0,0,0,34,42,3,31,2.4706,8,0.0749
partitioned_grafo10082.98,0,0,0,0,0,0,0,0,98,125,33,65,2.551,6,0.0263
partitioned_grafo10083.38,0,0,0,0,0,0,0,0,38,51,27,11,2.6842,6,0.0725
partitioned_grafo10084.97,0,0,0,0,0,0,0,0,97,147,16,81,3.0309,10,0.0316
partitioned_grafo10085.35,13,17,2,3,5,0,7,7,35,41,8,27,2.3429,5,0.0689
partitioned_grafo10086.34,19,23,3,4,7,2,7,9,34,42,16,18,2.4706,7,0.0749
partitioned_grafo10087.39,12,12,2,2,4,8,1,9,39,52,31,8,2.6667,6,0.0702
partitioned_grafo10088.39,0,0,0,0,0,0,0,0,39,55,3,36,2.8205,6,0.0742
partitioned_grafo10089.37,17,19,3,3,6,3,3,6,37,49,10,27,2.6486,5,0.0736
partitioned_grafo1009.17,5,7,1,1,2,1,3,4,17,17,5,12,2,3,0.125
partitioned_grafo10090.97,0,0,0,0,0,0,0,0,97,118,9,88,2.433,8,0.0253
partitioned_grafo10091.96,0,0,0,0,0,0,0,0,96,130,5,91,2.7083,8,0.0285
partitioned_grafo10092.97,0,0,0,0,0,0,0,0,97,130,62,35,2.6804,7,0.0279
partitioned_grafo10093.98,0,0,0,0,0,0,0,0,98,140,63,35,2.8571,8,0.0295
partitioned_grafo10095.93,0,0,0,0,0,0,0,0,93,120,10,83,2.5806,10,0.0281
partitioned_grafo10096.95,0,0,0,0,0,0,0,0,95,130,91,4,2.7368,8,0.0291
partitioned_grafo10097.95,0,0,0,0,0,0,0,0,95,118,54,41,2.4842,5,0.0264
partitioned_grafo10098.95,0,0,0,0,0,0,0,0,95,134,18,77,2.8211,8,0.03
partitioned_grafo10099.94,0,0,0,0,0,0,0,0,94,144,13,81,3.0638,8,0.0329
partitioned_grafo1010.10,6,6,1,1,2,1,1,2,10,10,4,6,2,3,0.2222
partitioned_grafo10100.99,0,0,0,0,0,0,0,0,99,139,4,95,2.8081,8,0.0287
partitioned_grafo10101.92,0,0,0,0,0,0,0,0,92,132,28,64,2.8696,8,0.0315
partitioned_grafo10102.97,0,0,0,0,0,0,0,0,97,132,21,76,2.7216,8,0.0284
partitioned_grafo10103.98,0,0,0,0,0,0,0,0,98,131,42,56,2.6735,10,0.0276
partitioned_grafo10104.96,0,0,0,0,0,0,0,0,96,134,4,92,2.7917,9,0.0294
partitioned_grafo10105.93,0,0,0,0,0,0,0,0,93,137,4,89,2.9462,7,0.032
partitioned_grafo10106.100,0,0,0,0,0,0,0,0,100,119,72,28,2.38,8,0.024
partitioned_grafo10107.93,0,0,0,0,0,0,0,0,93,133,5,88,2.8602,8,0.0311
partitioned_grafo10108.99,0,0,0,0,0,0,0,0,99,129,88,11,2.6061,8,0.0266
partitioned_grafo10109.95,0,0,0,0,0,0,0,0,95,126,60,35,2.6526,9,0.0282
partitioned_grafo1011.19,18,18,3,3,6,2,2,4,19,24,10,9,2.5263,8,0.1404
partitioned_grafo10110.97,0,0,0,0,0,0,0,0,97,117,23,74,2.4124,7,0.0251
partitioned_grafo10111.96,0,0,0,0,0,0,0,0,96,122,75,21,2.5417,8,0.0268
partitioned_grafo10112.98,0,0,0,0,0,0,0,0,98,137,94,4,2.7959,9,0.0288
partitioned_grafo10113.94,0,0,0,0,0,0,0,0,94,139,14,80,2.9574,8,0.0318
partitioned_grafo10114.95,0,0,0,0,0,0,0,0,95,119,11,84,2.5053,8,0.0267
partitioned_grafo10115.92,0,0,0,0,0,0,0,0,92,117,26,66,2.5435,7,0.028
partitioned_grafo10116.100,0,0,0,0,0,0,0,0,100,149,61,39,2.98,8,0.0301
partitioned_grafo10117.98,0,0,0,0,0,0,0,0,98,125,59,39,2.551,8,0.0263
partitioned_grafo10118.97,0,0,0,0,0,0,0,0,97,128,13,84,2.6392,7,0.0275
partitioned_grafo1012.22,0,0,0,0,0,0,0,0,22,24,5,17,2.1818,4,0.1039
partitioned_grafo10120.96,0,0,0,0,0,0,0,0,96,125,8,88,2.6042,9,0.0274
partitioned_grafo10121.95,0,0,0,0,0,0,0,0,95,122,15,80,2.5684,7,0.0273
partitioned_grafo10122.96,0,0,0,0,0,0,0,0,96,124,4,92,2.5833,8,0.0272
partitioned_grafo10123.96,0,0,0,0,0,0,0,0,96,130,11,85,2.7083,6,0.0285
partitioned_grafo10124.100,0,0,0,0,0,0,0,0,100,139,11,89,2.78,10,0.0281
partitioned_grafo10125.99,0,0,0,0,0,0,0,0,99,114,45,54,2.303,8,0.0235
partitioned_grafo10126.98,0,0,0,0,0,0,0,0,98,144,4,94,2.9388,9,0.0303
partitioned_grafo10127.94,0,0,0,0,0,0,0,0,94,130,28,66,2.766,8,0.0297
partitioned_grafo10128.98,0,0,0,0,0,0,0,0,98,130,11,87,2.6531,8,0.0274
partitioned_grafo10129.99,0,0,0,0,0,0,0,0,99,135,4,95,2.7273,6,0.0278
partitioned_grafo1013.15,0,0,0,0,0,0,0,0,15,23,2,13,3.0667,8,0.219
partitioned_grafo10130.97,0,0,0,0,0,0,0,0,97,138,4,93,2.8454,8,0.0296
partitioned_grafo10131.98,0,0,0,0,0,0,0,0,98,126,8,90,2.5714,7,0.0265
partitioned_grafo10132.97,0,0,0,0,0,0,0,0,97,134,10,87,2.7629,8,0.0288
partitioned_grafo10133.32,21,27,3,5,8,3,8,11,32,37,9,23,2.3125,7,0.0746
partitioned_grafo10134.33,18,18,3,3,6,7,3,10,33,34,18,15,2.0606,5,0.0644
partitioned_grafo10135.35,15,15,3,2,5,13,0,13,35,43,26,9,2.4571,9,0.0723
partitioned_grafo10136.39,34,20,6,3,9,13,4,17,39,48,27,12,2.4615,7,0.0648
partitioned_grafo10137.36,0,0,0,0,0,0,0,0,36,45,11,25,2.5,6,0.0714
partitioned_grafo10138.33,27,27,4,5,9,3,5,8,33,42,17,16,2.5455,7,0.0795
partitioned_grafo10139.95,0,0,0,0,0,0,0,0,95,127,10,85,2.6737,8,0.0284
partitioned_grafo1014.14,6,6,1,1,2,4,1,5,14,18,10,4,2.5714,4,0.1978
partitioned_grafo10140.40,15,15,3,2,5,3,8,11,40,48,9,31,2.4,6,0.0615
partitioned_grafo10141.38,6,6,1,1,2,0,0,0,38,45,6,32,2.3684,5,0.064
partitioned_grafo10142.37,20,22,3,4,7,3,5,8,37,47,12,25,2.5405,5,0.0706
partitioned_grafo10143.93,0,0,0,0,0,0,0,0,93,118,18,75,2.5376,8,0.0276
partitioned_grafo10144.98,0,0,0,0,0,0,0,0,98,134,7,91,2.7347,8,0.0282
partitioned_grafo10145.94,0,0,0,0,0,0,0,0,94,125,19,75,2.6596,6,0.0286
partitioned_grafo10146.97,0,0,0,0,0,0,0,0,97,142,44,53,2.9278,8,0.0305
partitioned_grafo10147.94,0,0,0,0,0,0,0,0,94,132,11,83,2.8085,9,0.0302
partitioned_grafo10148.97,0,0,0,0,0,0,0,0,97,134,6,91,2.7629,10,0.0288
partitioned_grafo10149.95,0,0,0,0,0,0,0,0,95,134,11,84,2.8211,8,0.03
partitioned_grafo1015.16,9,9,2,1,3,2,4,6,16,21,4,12,2.625,8,0.175
partitioned_grafo10150.95,0,0,0,0,0,0,0,0,95,129,48,47,2.7158,7,0.0289
partitioned_grafo10151.94,0,0,0,0,0,0,0,0,94,140,69,25,2.9787,8,0.032
partitioned_grafo10152.96,0,0,0,0,0,0,0,0,96,125,19,77,2.6042,9,0.0274
partitioned_grafo10153.100,0,0,0,0,0,0,0,0,100,136,15,85,2.72,8,0.0275
partitioned_grafo10154.94,0,0,0,0,0,0,0,0,94,132,86,8,2.8085,8,0.0302
