graph_name,red_endpoints_l2_05,blue_endpoints_l2_05,red_staircases_l2_05,blue_staircases_l2_05,total_staircases_l2_05,red_staircases_l2_0,blue_staircases_l2_0,total_staircases_l2_0,number_of_nodes,number_of_edges,total_red_nodes,total_blue_nodes,avg_degree,max_degree,density
partitioned_grafo11066.96,0,0,0,0,0,0,0,0,96,127,18,78,2.6458,6,0.0279
partitioned_grafo11067.98,0,0,0,0,0,0,0,0,98,137,87,11,2.7959,9,0.0288
partitioned_grafo11068.96,0,0,0,0,0,0,0,0,96,118,74,22,2.4583,7,0.0259
partitioned_grafo11069.93,0,0,0,0,0,0,0,0,93,139,45,48,2.9892,9,0.0325
partitioned_grafo1107.15,13,11,2,2,4,3,2,5,15,19,9,6,2.5333,5,0.181
partitioned_grafo11070.94,0,0,0,0,0,0,0,0,94,136,54,40,2.8936,7,0.0311
partitioned_grafo11071.94,0,0,0,0,0,0,0,0,94,124,37,57,2.6383,8,0.0284
partitioned_grafo11072.98,0,0,0,0,0,0,0,0,98,143,39,59,2.9184,8,0.0301
partitioned_grafo11073.100,0,0,0,0,0,0,0,0,100,149,91,9,2.98,9,0.0301
partitioned_grafo11074.96,0,0,0,0,0,0,0,0,96,129,75,21,2.6875,8,0.0283
partitioned_grafo11075.97,0,0,0,0,0,0,0,0,97,127,15,82,2.6186,6,0.0273
partitioned_grafo11076.97,0,0,0,0,0,0,0,0,97,136,35,62,2.8041,11,0.0292
partitioned_grafo11077.36,24,24,4,3,7,4,3,7,36,40,15,21,2.2222,6,0.0635
partitioned_grafo11078.100,0,0,0,0,0,0,0,0,100,130,8,92,2.6,7,0.0263
partitioned_grafo11079.39,0,0,0,0,0,0,0,0,39,48,16,23,2.4615,8,0.0648
partitioned_grafo1108.18,10,8,2,1,3,5,2,7,18,25,9,9,2.7778,5,0.1634
partitioned_grafo11080.93,0,0,0,0,0,0,0,0,93,126,5,88,2.7097,6,0.0295
partitioned_grafo11081.34,19,17,4,2,6,7,1,8,34,39,22,12,2.2941,7,0.0695
partitioned_grafo11082.33,27,27,4,5,9,3,5,8,33,42,17,16,2.5455,7,0.0795
partitioned_grafo11083.37,0,0,0,0,0,0,0,0,37,49,5,32,2.6486,6,0.0736
partitioned_grafo11084.36,5,1,1,0,1,6,3,9,36,44,28,8,2.4444,5,0.0698
partitioned_grafo11085.97,0,0,0,0,0,0,0,0,97,121,13,84,2.4948,8,0.026
partitioned_grafo11086.96,0,0,0,0,0,0,0,0,96,125,32,64,2.6042,8,0.0274
partitioned_grafo11087.96,0,0,0,0,0,0,0,0,96,129,62,34,2.6875,7,0.0283
partitioned_grafo11088.97,0,0,0,0,0,0,0,0,97,139,10,87,2.866,8,0.0299
partitioned_grafo11089.93,0,0,0,0,0,0,0,0,93,114,14,79,2.4516,7,0.0266
partitioned_grafo1109.24,9,9,1,2,3,4,0,4,24,33,20,4,2.75,7,0.1196
partitioned_grafo11090.93,0,0,0,0,0,0,0,0,93,112,57,36,2.4086,7,0.0262
partitioned_grafo11091.97,0,0,0,0,0,0,0,0,97,125,4,93,2.5773,9,0.0268
partitioned_grafo11092.97,0,0,0,0,0,0,0,0,97,134,14,83,2.7629,8,0.0288
partitioned_grafo11093.100,0,0,0,0,0,0,0,0,100,130,9,91,2.6,8,0.0263
partitioned_grafo11094.98,0,0,0,0,0,0,0,0,98,132,27,71,2.6939,8,0.0278
partitioned_grafo11095.93,0,0,0,0,0,0,0,0,93,126,5,88,2.7097,6,0.0295
partitioned_grafo11096.97,0,0,0,0,0,0,0,0,97,138,4,93,2.8454,9,0.0296
partitioned_grafo11097.96,0,0,0,0,0,0,0,0,96,132,4,92,2.75,8,0.0289
partitioned_grafo11098.96,0,0,0,0,0,0,0,0,96,131,11,85,2.7292,8,0.0287
partitioned_grafo11099.99,0,0,0,0,0,0,0,0,99,151,20,79,3.0505,8,0.0311
partitioned_grafo1110.20,13,17,2,3,5,2,5,7,20,22,7,13,2.2,5,0.1158
partitioned_grafo11100.95,0,0,0,0,0,0,0,0,95,137,87,8,2.8842,9,0.0307
partitioned_grafo11101.95,0,0,0,0,0,0,0,0,95,139,33,62,2.9263,9,0.0311
partitioned_grafo11102.98,0,0,0,0,0,0,0,0,98,136,47,51,2.7755,9,0.0286
partitioned_grafo11103.93,0,0,0,0,0,0,0,0,93,116,79,14,2.4946,7,0.0271
partitioned_grafo11104.95,0,0,0,0,0,0,0,0,95,135,53,42,2.8421,8,0.0302
partitioned_grafo11105.95,0,0,0,0,0,0,0,0,95,136,7,88,2.8632,9,0.0305
partitioned_grafo11106.99,0,0,0,0,0,0,0,0,99,136,5,94,2.7475,8,0.028
partitioned_grafo11107.94,0,0,0,0,0,0,0,0,94,123,10,84,2.617,8,0.0281
partitioned_grafo11108.94,0,0,0,0,0,0,0,0,94,124,7,87,2.6383,8,0.0284
partitioned_grafo11109.94,0,0,0,0,0,0,0,0,94,130,16,78,2.766,8,0.0297
partitioned_grafo1111.15,1,5,0,1,1,0,6,6,15,23,2,13,3.0667,8,0.219
partitioned_grafo11110.99,0,0,0,0,0,0,0,0,99,135,8,91,2.7273,10,0.0278
partitioned_grafo11111.94,0,0,0,0,0,0,0,0,94,127,7,87,2.7021,8,0.0291
partitioned_grafo11112.96,0,0,0,0,0,0,0,0,96,138,5,91,2.875,7,0.0303
partitioned_grafo11113.98,0,0,0,0,0,0,0,0,98,137,5,93,2.7959,8,0.0288
partitioned_grafo11114.93,0,0,0,0,0,0,0,0,93,137,12,81,2.9462,8,0.032
partitioned_grafo11115.92,0,0,0,0,0,0,0,0,92,142,4,88,3.087,9,0.0339
partitioned_grafo11116.92,0,0,0,0,0,0,0,0,92,112,6,86,2.4348,9,0.0268
partitioned_grafo11117.95,0,0,0,0,0,0,0,0,95,130,16,79,2.7368,8,0.0291
partitioned_grafo11118.99,0,0,0,0,0,0,0,0,99,125,5,94,2.5253,7,0.0258
partitioned_grafo11119.98,0,0,0,0,0,0,0,0,98,135,17,81,2.7551,6,0.0284
partitioned_grafo1112.16,9,9,2,1,3,4,4,8,16,23,6,10,2.875,8,0.1917
partitioned_grafo11120.96,0,0,0,0,0,0,0,0,96,128,25,71,2.6667,9,0.0281
partitioned_grafo11121.32,2,4,0,1,1,2,11,13,32,41,8,24,2.5625,8,0.0827
partitioned_grafo11122.37,18,18,3,3,6,3,7,10,37,44,6,31,2.3784,7,0.0661
partitioned_grafo11123.32,18,18,3,3,6,2,9,11,32,38,9,23,2.375,8,0.0766
partitioned_grafo11124.37,1,11,0,2,2,0,5,5,37,43,12,25,2.3243,7,0.0646
partitioned_grafo11125.100,0,0,0,0,0,0,0,0,100,140,49,51,2.8,7,0.0283
partitioned_grafo11126.36,0,0,0,0,0,0,0,0,36,46,4,32,2.5556,7,0.073
partitioned_grafo11127.31,27,27,4,5,9,4,5,9,31,37,17,14,2.3871,4,0.0796
partitioned_grafo11128.36,18,18,3,3,6,3,3,6,36,47,16,20,2.6111,5,0.0746
partitioned_grafo11129.34,19,17,4,2,6,7,0,7,34,39,22,12,2.2941,7,0.0695
partitioned_grafo1113.20,7,11,1,2,3,1,5,6,20,23,7,13,2.3,4,0.1211
partitioned_grafo11130.33,27,27,4,5,9,3,5,8,33,42,17,16,2.5455,7,0.0795
partitioned_grafo11131.36,6,6,1,1,2,1,8,9,36,46,5,31,2.5556,6,0.073
partitioned_grafo11132.95,0,0,0,0,0,0,0,0,95,133,24,71,2.8,8,0.0298
partitioned_grafo11133.93,0,0,0,0,0,0,0,0,93,127,8,85,2.7312,7,0.0297
partitioned_grafo11134.91,0,0,0,0,0,0,0,0,91,116,17,74,2.5495,8,0.0283
partitioned_grafo11135.95,0,0,0,0,0,0,0,0,95,129,11,84,2.7158,9,0.0289
partitioned_grafo11136.98,0,0,0,0,0,0,0,0,98,122,77,21,2.4898,8,0.0257
partitioned_grafo11137.95,0,0,0,0,0,0,0,0,95,126,12,83,2.6526,8,0.0282
partitioned_grafo11138.100,0,0,0,0,0,0,0,0,100,129,5,95,2.58,9,0.0261
partitioned_grafo11139.98,0,0,0,0,0,0,0,0,98,124,87,11,2.5306,9,0.0261
partitioned_grafo1114.24,22,20,4,3,7,8,4,12,24,35,11,13,2.9167,9,0.1268
partitioned_grafo11140.98,0,0,0,0,0,0,0,0,98,138,29,69,2.8163,7,0.029
partitioned_grafo11141.95,0,0,0,0,0,0,0,0,95,133,4,91,2.8,9,0.0298
partitioned_grafo11142.99,0,0,0,0,0,0,0,0,99,144,4,95,2.9091,8,0.0297
partitioned_grafo11143.98,0,0,0,0,0,0,0,0,98,135,90,8,2.7551,8,0.0284
partitioned_grafo11144.92,0,0,0,0,0,0,0,0,92,136,25,67,2.9565,9,0.0325
partitioned_grafo11145.99,0,0,0,0,0,0,0,0,99,140,88,11,2.8283,10,0.0289
partitioned_grafo11146.99,0,0,0,0,0,0,0,0,99,127,7,92,2.5657,7,0.0262
partitioned_grafo11147.100,0,0,0,0,0,0,0,0,100,126,19,81,2.52,6,0.0255
partitioned_grafo11148.99,0,0,0,0,0,0,0,0,99,138,62,37,2.7879,8,0.0284
partitioned_grafo11149.100,0,0,0,0,0,0,0,0,100,136,75,25,2.72,10,0.0275
partitioned_grafo1115.31,12,18,2,3,5,3,6,9,31,43,13,18,2.7742,8,0.0925
partitioned_grafo11150.99,0,0,0,0,0,0,0,0,99,133,19,80,2.6869,7,0.0274
partitioned_grafo11151.92,0,0,0,0,0,0,0,0,92,121,8,84,2.6304,6,0.0289
partitioned_grafo11152.98,0,0,0,0,0,0,0,0,98,134,6,92,2.7347,9,0.0282
partitioned_grafo11153.99,0,0,0,0,0,0,0,0,99,130,43,56,2.6263,7,0.0268
partitioned_grafo11154.95,0,0,0,0,0,0,0,0,95,134,23,72,2.8211,8,0.03
partitioned_grafo11155.99,0,0,0,0,0,0,0,0,99,125,5,94,2.5253,6,0.0258
partitioned_grafo11156.98,0,0,0,0,0,0,0,0,98,117,13,85,2.3878,6,0.0246
partitioned_grafo11157.100,0,0,0,0,0,0,0,0,100,138,4,96,2.76,7,0.0279
partitioned_grafo11158.94,0,0,0,0,0,0,0,0,94,120,34,60,2.5532,9,0.0275
partitioned_grafo11159.93,0,0,0,0,0,0,0,0,93,119,19,74,2.5591,9,0.0278
partitioned_grafo1116.16,7,5,1,1,2,3,1,4,16,17,11,5,2.125,3,0.1417
partitioned_grafo11160.100,0,0,0,0,0,0,0,0,100,122,17,83,2.44,8,0.0246
partitioned_grafo11161.99,0,0,0,0,0,0,0,0,99,120,8,91,2.4242,6,0.0247
partitioned_grafo11162.100,0,0,0,0,0,0,0,0,100,136,54,46,2.72,6,0.0275
partitioned_grafo11163.38,8,10,1,2,3,1,4,5,38,50,5,33,2.6316,8,0.0711
partitioned_grafo11164.40,0,0,0,0,0,0,0,0,40,49,26,14,2.45,6,0.0628
partitioned_grafo11165.39,20,22,3,4,7,4,13,17,39,51,10,29,2.6154,8,0.0688
partitioned_grafo11166.34,17,19,3,3,6,3,5,8,34,43,9,25,2.5294,6,0.0766
partitioned_grafo11167.37,21,21,3,4,7,2,4,6,37,48,8,29,2.5946,5,0.0721
partitioned_grafo11168.34,15,15,2,3,5,1,6,7,34,40,12,22,2.3529,7,0.0713
partitioned_grafo11169.99,0,0,0,0,0,0,0,0,99,128,6,93,2.5859,6,0.0264
partitioned_grafo1117.11,0,0,0,0,0,0,0,0,11,10,3,8,1.8182,4,0.1818
partitioned_grafo11170.33,27,27,4,5,9,3,5,8,33,42,17,16,2.5455,7,0.0795
partitioned_grafo11171.35,37,35,6,6,12,6,6,12,35,40,13,22,2.2857,5,0.0672
partitioned_grafo11172.41,0,0,0,0,0,0,0,0,41,51,4,37,2.4878,7,0.0622
partitioned_grafo11173.41,5,7,1,1,2,3,6,9,41,49,13,28,2.3902,5,0.0598
partitioned_grafo11174.91,0,0,0,0,0,0,0,0,91,117,10,81,2.5714,8,0.0286
partitioned_grafo11175.94,0,0,0,0,0,0,0,0,94,114,12,82,2.4255,8,0.0261
partitioned_grafo11176.100,0,0,0,0,0,0,0,0,100,138,35,65,2.76,8,0.0279
partitioned_grafo11177.98,0,0,0,0,0,0,0,0,98,131,10,88,2.6735,6,0.0276
partitioned_grafo11178.95,0,0,0,0,0,0,0,0,95,137,86,9,2.8842,9,0.0307
partitioned_grafo11179.99,0,0,0,0,0,0,0,0,99,123,30,69,2.4848,8,0.0254
partitioned_grafo1118.22,16,14,3,2,5,3,2,5,22,23,14,8,2.0909,4,0.0996
partitioned_grafo11180.34,7,11,1,2,3,2,5,7,34,34,14,20,2,4,0.0606
partitioned_grafo11181.95,0,0,0,0,0,0,0,0,95,141,64,31,2.9684,8,0.0316
partitioned_grafo11182.99,0,0,0,0,0,0,0,0,99,129,77,22,2.6061,7,0.0266
partitioned_grafo11184.93,0,0,0,0,0,0,0,0,93,121,25,68,2.6022,8,0.0283
partitioned_grafo11185.94,0,0,0,0,0,0,0,0,94,126,14,80,2.6809,8,0.0288
partitioned_grafo11186.93,0,0,0,0,0,0,0,0,93,128,6,87,2.7527,11,0.0299
partitioned_grafo11187.98,0,0,0,0,0,0,0,0,98,128,7,91,2.6122,6,0.0269
partitioned_grafo11188.99,0,0,0,0,0,0,0,0,99,134,37,62,2.7071,8,0.0276
partitioned_grafo11189.94,0,0,0,0,0,0,0,0,94,133,65,29,2.8298,11,0.0304
partitioned_grafo1119.16,0,0,0,0,0,0,0,0,16,22,3,13,2.75,8,0.1833
partitioned_grafo11190.92,0,0,0,0,0,0,0,0,92,130,43,49,2.8261,8,0.0311
partitioned_grafo11191.100,0,0,0,0,0,0,0,0,100,129,31,69,2.58,10,0.0261
partitioned_grafo11192.92,0,0,0,0,0,0,0,0,92,111,12,80,2.413,7,0.0265
partitioned_grafo11193.93,0,0,0,0,0,0,0,0,93,120,85,8,2.5806,8,0.0281
partitioned_grafo11194.100,0,0,0,0,0,0,0,0,100,127,86,14,2.54,7,0.0257
partitioned_grafo11195.93,0,0,0,0,0,0,0,0,93,130,71,22,2.7957,7,0.0304
partitioned_grafo11196.100,0,0,0,0,0,0,0,0,100,121,40,60,2.42,7,0.0244
partitioned_grafo11197.92,0,0,0,0,0,0,0,0,92,122,41,51,2.6522,8,0.0291
partitioned_grafo11198.98,0,0,0,0,0,0,0,0,98,136,77,21,2.7755,8,0.0286
partitioned_grafo1120.10,0,0,0,0,0,0,0,0,10,10,3,7,2,3,0.2222
partitioned_grafo11200.93,0,0,0,0,0,0,0,0,93,124,12,81,2.6667,7,0.029
partitioned_grafo11201.99,0,0,0,0,0,0,0,0,99,136,4,95,2.7475,8,0.028
partitioned_grafo11202.32,4,8,1,1,2,1,8,9,32,38,6,26,2.375,4,0.0766
partitioned_grafo11203.100,0,0,0,0,0,0,0,0,100,131,44,56,2.62,7,0.0265
partitioned_grafo11204.99,0,0,0,0,0,0,0,0,99,143,7,92,2.8889,8,0.0295
partitioned_grafo11205.94,0,0,0,0,0,0,0,0,94,131,50,44,2.7872,12,0.03
partitioned_grafo11206.91,0,0,0,0,0,0,0,0,91,126,5,86,2.7692,7,0.0308
partitioned_grafo11207.34,7,5,1,1,2,0,0,0,34,38,28,6,2.2353,8,0.0677
partitioned_grafo11208.38,20,22,3,4,7,1,13,14,38,47,10,28,2.4737,7,0.0669
partitioned_grafo11209.36,0,0,0,0,0,0,0,0,36,45,20,16,2.5,6,0.0714
partitioned_grafo1121.17,17,19,3,3,6,3,3,6,17,20,7,10,2.3529,4,0.1471
partitioned_grafo11210.33,27,27,4,5,9,3,5,8,33,42,17,16,2.5455,7,0.0795
partitioned_grafo11211.33,30,30,5,5,10,5,6,11,33,37,19,14,2.2424,5,0.0701
partitioned_grafo11212.41,23,55,3,10,13,4,10,14,41,56,21,20,2.7317,6,0.0683
partitioned_grafo11213.37,11,13,2,2,4,0,0,0,37,49,5,32,2.6486,6,0.0736
partitioned_grafo11214.40,14,16,2,3,5,0,0,0,40,52,15,25,2.6,6,0.0667
partitioned_grafo11215.93,0,0,0,0,0,0,0,0,93,129,11,82,2.7742,8,0.0302
partitioned_grafo11216.94,0,0,0,0,0,0,0,0,94,127,26,68,2.7021,7,0.0291
partitioned_grafo11217.95,0,0,0,0,0,0,0,0,95,131,40,55,2.7579,8,0.0293
partitioned_grafo11218.99,0,0,0,0,0,0,0,0,99,147,66,33,2.9697,8,0.0303
partitioned_grafo11219.94,0,0,0,0,0,0,0,0,94,131,5,89,2.7872,8,0.03
partitioned_grafo1122.17,11,13,2,2,4,2,3,5,17,17,7,10,2,4,0.125
partitioned_grafo11220.92,0,0,0,0,0,0,0,0,92,132,5,87,2.8696,6,0.0315
partitioned_grafo11221.92,0,0,0,0,0,0,0,0,92,113,13,79,2.4565,7,0.027
partitioned_grafo11222.93,0,0,0,0,0,0,0,0,93,123,11,82,2.6452,8,0.0288
partitioned_grafo11223.99,0,0,0,0,0,0,0,0,99,151,88,11,3.0505,8,0.0311
partitioned_grafo11224.34,16,20,3,3,6,2,8,10,34,37,12,22,2.1765,5,0.066
partitioned_grafo11225.94,0,0,0,0,0,0,0,0,94,122,36,58,2.5957,8,0.0279
partitioned_grafo11226.91,0,0,0,0,0,0,0,0,91,117,6,85,2.5714,6,0.0286
partitioned_grafo11227.100,0,0,0,0,0,0,0,0,100,142,53,47,2.84,7,0.0287
partitioned_grafo11228.94,0,0,0,0,0,0,0,0,94,125,5,89,2.6596,6,0.0286
partitioned_grafo11229.94,0,0,0,0,0,0,0,0,94,125,8,86,2.6596,7,0.0286
partitioned_grafo1123.10,0,0,0,0,0,0,0,0,10,10,3,7,2,3,0.2222
partitioned_grafo11230.100,0,0,0,0,0,0,0,0,100,129,79,21,2.58,8,0.0261
partitioned_grafo11232.92,0,0,0,0,0,0,0,0,92,132,85,7,2.8696,8,0.0315
partitioned_grafo11233.93,0,0,0,0,0,0,0,0,93,126,5,88,2.7097,8,0.0295
partitioned_grafo11234.35,24,24,4,4,8,2,7,9,35,35,15,20,2,6,0.0588
partitioned_grafo11235.35,22,20,4,3,7,5,3,8,35,44,20,15,2.5143,7,0.0739
partitioned_grafo11236.38,38,34,7,5,12,0,0,0,38,52,24,14,2.7368,5,0.074
partitioned_grafo11237.35,15,15,2,3,5,2,9,11,35,41,14,21,2.3429,8,0.0689
partitioned_grafo11238.37,30,30,5,5,10,3,15,18,37,47,9,28,2.5405,7,0.0706
partitioned_grafo11239.31,37,35,7,5,12,7,5,12,31,38,15,16,2.4516,4,0.0817
partitioned_grafo1124.15,6,6,1,1,2,1,3,4,15,16,5,10,2.1333,3,0.1524
partitioned_grafo11240.36,9,9,1,2,3,0,11,11,36,47,7,29,2.6111,5,0.0746
partitioned_grafo11241.34,19,17,4,2,6,7,0,7,34,39,22,12,2.2941,7,0.0695
partitioned_grafo11242.41,16,20,3,3,6,3,8,11,41,52,8,33,2.5366,5,0.0634
partitioned_grafo11243.37,23,25,4,4,8,4,6,10,37,50,14,23,2.7027,6,0.0751
partitioned_grafo11244.36,0,0,0,0,0,0,0,0,36,48,24,12,2.6667,5,0.0762
partitioned_grafo11245.92,0,0,0,0,0,0,0,0,92,118,9,83,2.5652,8,0.0282
partitioned_grafo11246.93,0,0,0,0,0,0,0,0,93,116,85,8,2.4946,7,0.0271
partitioned_grafo11247.36,0,0,0,0,0,0,0,0,36,47,28,8,2.6111,6,0.0746
partitioned_grafo11248.99,0,0,0,0,0,0,0,0,99,132,46,53,2.6667,7,0.0272
partitioned_grafo11249.94,0,0,0,0,0,0,0,0,94,128,5,89,2.7234,11,0.0293
partitioned_grafo1125.21,11,13,2,2,4,2,4,6,21,29,5,16,2.7619,8,0.1381
partitioned_grafo11250.99,0,0,0,0,0,0,0,0,99,143,7,92,2.8889,8,0.0295
partitioned_grafo11251.93,0,0,0,0,0,0,0,0,93,139,3,90,2.9892,9,0.0325
partitioned_grafo11252.93,0,0,0,0,0,0,0,0,93,129,37,56,2.7742,6,0.0302
partitioned_grafo11253.94,0,0,0,0,0,0,0,0,94,127,4,90,2.7021,11,0.0291
partitioned_grafo11254.99,0,0,0,0,0,0,0,0,99,136,70,29,2.7475,10,0.028
partitioned_grafo11255.94,0,0,0,0,0,0,0,0,94,121,26,68,2.5745,8,0.0277
partitioned_grafo11256.99,0,0,0,0,0,0,0,0,99,126,5,94,2.5455,8,0.026
partitioned_grafo11257.91,0,0,0,0,0,0,0,0,91,129,5,86,2.8352,8,0.0315
partitioned_grafo11258.94,0,0,0,0,0,0,0,0,94,119,25,69,2.5319,9,0.0272
partitioned_grafo11259.92,0,0,0,0,0,0,0,0,92,106,6,86,2.3043,8,0.0253
partitioned_grafo1126.10,6,6,1,1,2,1,1,2,10,9,5,5,1.8,3,0.2
partitioned_grafo11260.36,19,17,3,3,6,5,3,8,36,41,19,17,2.2778,5,0.0651
partitioned_grafo11261.32,14,16,2,3,5,2,7,9,32,37,9,23,2.3125,8,0.0746
partitioned_grafo11262.41,24,24,4,4,8,5,10,15,41,49,13,28,2.3902,7,0.0598
partitioned_grafo11263.41,0,0,0,0,0,0,0,0,41,57,22,19,2.7805,8,0.0695
partitioned_grafo11264.33,27,27,4,5,9,3,5,8,33,42,17,16,2.5455,7,0.0795
partitioned_grafo11265.33,30,30,5,5,10,5,6,11,33,37,19,14,2.2424,5,0.0701
partitioned_grafo11266.40,0,0,0,0,0,0,0,0,40,50,4,36,2.5,7,0.0641
partitioned_grafo11267.92,0,0,0,0,0,0,0,0,92,131,11,81,2.8478,7,0.0313
partitioned_grafo11268.93,0,0,0,0,0,0,0,0,93,117,10,83,2.5161,8,0.0273
partitioned_grafo11269.93,0,0,0,0,0,0,0,0,93,131,83,10,2.8172,7,0.0306
partitioned_grafo1127.19,12,12,2,2,4,2,4,6,19,22,6,13,2.3158,5,0.1287
partitioned_grafo11270.93,0,0,0,0,0,0,0,0,93,126,26,67,2.7097,11,0.0295
partitioned_grafo11271.99,0,0,0,0,0,0,0,0,99,141,92,7,2.8485,12,0.0291
partitioned_grafo11272.99,0,0,0,0,0,0,0,0,99,133,6,93,2.6869,8,0.0274
partitioned_grafo11273.92,0,0,0,0,0,0,0,0,92,120,15,77,2.6087,9,0.0287
partitioned_grafo11274.93,0,0,0,0,0,0,0,0,93,132,36,57,2.8387,8,0.0309
partitioned_grafo11275.93,0,0,0,0,0,0,0,0,93,135,71,22,2.9032,9,0.0316
partitioned_grafo11276.92,0,0,0,0,0,0,0,0,92,133,68,24,2.8913,8,0.0318
partitioned_grafo11277.34,12,12,2,2,4,2,8,10,34,35,11,23,2.0588,4,0.0624
partitioned_grafo11278.37,10,38,2,6,8,2,6,8,37,47,13,24,2.5405,5,0.0706
partitioned_grafo11279.35,8,10,1,2,3,0,5,5,35,39,9,26,2.2286,7,0.0655
partitioned_grafo1128.11,5,7,1,1,2,1,2,3,11,12,3,8,2.1818,4,0.2182
partitioned_grafo11280.99,0,0,0,0,0,0,0,0,99,143,49,50,2.8889,8,0.0295
partitioned_grafo11281.34,11,7,2,1,3,6,2,8,34,42,21,13,2.4706,6,0.0749
partitioned_grafo11282.35,6,6,1,1,2,1,9,10,35,44,5,30,2.5143,5,0.0739
partitioned_grafo11283.40,19,23,3,4,7,0,0,0,40,52,18,22,2.6,6,0.0667
partitioned_grafo11284.37,18,18,3,3,6,2,15,17,37,50,12,25,2.7027,5,0.0751
partitioned_grafo11285.93,0,0,0,0,0,0,0,0,93,127,77,16,2.7312,7,0.0297
partitioned_grafo11286.92,0,0,0,0,0,0,0,0,92,117,70,22,2.5435,7,0.028
partitioned_grafo11287.93,0,0,0,0,0,0,0,0,93,131,11,82,2.8172,7,0.0306
partitioned_grafo11288.93,0,0,0,0,0,0,0,0,93,114,61,32,2.4516,8,0.0266
partitioned_grafo11289.93,0,0,0,0,0,0,0,0,93,118,10,83,2.5376,8,0.0276
partitioned_grafo1129.15,25,29,4,5,9,6,5,11,15,27,7,8,3.6,6,0.2571
partitioned_grafo11290.93,0,0,0,0,0,0,0,0,93,125,6,87,2.6882,9,0.0292
partitioned_grafo11291.99,0,0,0,0,0,0,0,0,99,116,11,88,2.3434,7,0.0239
partitioned_grafo11292.33,11,13,2,2,4,2,11,13,33,46,6,27,2.7879,7,0.0871
partitioned_grafo11293.33,26,22,5,3,8,6,3,9,33,38,19,14,2.303,4,0.072
partitioned_grafo11294.38,5,19,1,3,4,0,0,0,38,56,5,33,2.9474,8,0.0797
partitioned_grafo11295.37,6,6,1,1,2,0,0,0,37,48,6,31,2.5946,6,0.0721
partitioned_grafo11296.36,14,10,2,2,4,3,4,7,36,44,11,25,2.4444,5,0.0698
partitioned_grafo11297.93,0,0,0,0,0,0,0,0,93,127,14,79,2.7312,7,0.0297
partitioned_grafo11298.99,0,0,0,0,0,0,0,0,99,128,58,41,2.5859,9,0.0264
partitioned_grafo11299.93,0,0,0,0,0,0,0,0,93,132,70,23,2.8387,7,0.0309
partitioned_grafo113.28,8,10,1,2,3,1,8,9,28,31,5,23,2.2143,6,0.082
partitioned_grafo1130.23,0,0,0,0,0,0,0,0,23,39,2,21,3.3913,7,0.1542
partitioned_grafo11300.91,0,0,0,0,0,0,0,0,91,126,5,86,2.7692,7,0.0308
partitioned_grafo11301.93,0,0,0,0,0,0,0,0,93,129,18,75,2.7742,8,0.0302
partitioned_grafo11302.99,0,0,0,0,0,0,0,0,99,120,89,10,2.4242,7,0.0247
partitioned_grafo11303.93,0,0,0,0,0,0,0,0,93,128,4,89,2.7527,7,0.0299
partitioned_grafo11305.99,0,0,0,0,0,0,0,0,99,129,41,58,2.6061,9,0.0266
partitioned_grafo11306.99,0,0,0,0,0,0,0,0,99,124,23,76,2.5051,8,0.0256
partitioned_grafo11307.32,0,0,0,0,0,0,0,0,32,38,15,17,2.375,8,0.0766
partitioned_grafo11308.33,18,18,3,3,6,3,5,8,33,38,13,20,2.303,4,0.072
partitioned_grafo11309.36,18,18,3,3,6,7,0,7,36,46,30,6,2.5556,6,0.073
partitioned_grafo1131.11,6,6,1,1,2,4,0,4,11,12,6,5,2.1818,5,0.2182
partitioned_grafo11310.35,23,25,4,4,8,4,6,10,35,37,15,20,2.1143,4,0.0622
partitioned_grafo11311.40,20,16,3,3,6,2,7,9,40,51,24,16,2.55,7,0.0654
partitioned_grafo11312.91,0,0,0,0,0,0,0,0,91,115,71,20,2.5275,8,0.0281
partitioned_grafo11313.96,0,0,0,0,0,0,0,0,96,144,9,87,3,9,0.0316
partitioned_grafo11314.92,0,0,0,0,0,0,0,0,92,127,6,86,2.7609,8,0.0303
partitioned_grafo11315.91,0,0,0,0,0,0,0,0,91,131,15,76,2.8791,8,0.032
partitioned_grafo11316.99,0,0,0,0,0,0,0,0,99,134,53,46,2.7071,7,0.0276
partitioned_grafo11318.35,15,15,2,3,5,10,2,12,35,47,27,8,2.6857,6,0.079
partitioned_grafo11319.34,15,15,3,2,5,6,2,8,34,40,23,11,2.3529,7,0.0713
partitioned_grafo1132.19,6,6,1,1,2,4,1,5,19,19,14,5,2,4,0.1111
partitioned_grafo11320.35,27,27,4,5,9,5,4,9,35,42,16,19,2.4,7,0.0706
partitioned_grafo11321.35,30,30,5,5,10,5,7,12,35,40,13,22,2.2857,5,0.0672
partitioned_grafo11322.38,32,28,5,5,10,10,5,15,38,50,20,18,2.6316,5,0.0711
partitioned_grafo11323.37,18,18,3,3,6,8,1,9,37,47,28,9,2.5405,6,0.0706
partitioned_grafo11324.100,0,0,0,0,0,0,0,0,100,138,12,88,2.76,8,0.0279
partitioned_grafo11325.35,18,18,3,3,6,0,7,7,35,36,14,21,2.0571,6,0.0605
partitioned_grafo11326.35,9,15,1,3,4,2,7,9,35,42,12,23,2.4,8,0.0706
partitioned_grafo11327.39,14,22,3,3,6,6,11,17,39,53,7,32,2.7179,7,0.0715
